X,Y,OBJECTID,Injury,Fatality,Year,Weather,Light,RoadSurface,TrafficControl,City,CrashSeverity
-88.238527399294014,40.096679288153894,1,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.365158513114196,40.201147521802675,2,1,0,2013,Clear,Daylight,Wet,No Controls,Unincorporated,B-Injury
-88.190576006193865,40.090697489839506,3,1,0,2013,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,B-Injury
-88.218277755592453,40.110610679403038,4,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.287992489450502,40.10932859365213,5,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.157357292871367,40.308348180261461,6,1,0,2013,Clear,Daylight,Dry,No Controls,Rantoul,B-Injury
-88.277046026522527,40.132227509539732,7,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.219375803177073,40.115511861008976,8,0,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,Property Damage
-88.241845762257554,40.116347511302862,9,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.20504591981809,40.114074851751468,10,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.284775772762003,40.098377506321754,11,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.199435154919769,40.127397523863017,12,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.209195749029163,40.069127505448314,13,1,0,2013,Clear,Dawn,Dry,Stop Sign/Flasher,Unincorporated,B-Injury
-88.220745523504988,40.116437513054969,14,1,0,2013,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.208875751180457,40.109227512351708,15,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.243685736294239,40.13260808420565,16,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.208925753673086,40.111597511913409,17,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.2767357721726,40.111917509232626,18,1,0,2013,Fog/Smoke/Haze,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.235585315425055,40.110276439462247,19,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.237045779499866,40.109038716643923,20,1,0,2013,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.217392701578234,40.110631527962944,21,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.310797991988039,40.113226282034994,22,1,0,2013,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.257815767112675,40.114409580279535,23,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.331356595355317,40.127877319508947,24,1,0,2013,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.215627848696258,40.116461719855586,25,2,0,2013,Clear,Daylight,Dry,Traffic Signal,Urbana,C-Injury
-88.254215766088265,40.112657510069177,26,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.220659419726502,40.112984922653062,27,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.257815807926008,40.115338864510306,28,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.281748511581981,40.098347534318222,29,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.296401208797732,40.083958754276836,30,1,0,2013,Rain,Darkness,Wet,No Controls,Champaign,A-Injury
-88.276515770542275,40.098267506867465,31,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.262544859137805,39.986392495471087,32,1,0,2013,Clear,"Darkness, lighted road",Dry,Traffic Signal,Tolono,B-Injury
-88.221475755390614,40.105997511671902,33,1,0,2013,NA,"Darkness, lighted road",NA,Stop Sign/Flasher,Urbana,C-Injury
-88.276815772793938,40.116881045796958,34,1,0,2013,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.238601807022164,40.101477527450555,35,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.238717952517149,40.110373871228731,36,0,0,2013,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,Property Damage
-88.25790576818639,40.1212927682502,37,0,0,2013,Rain,Daylight,Wet,Stop Sign/Flasher,Champaign,Property Damage
-88.208935753199597,40.112447513486323,38,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.236749760345603,40.116355394386922,39,1,0,2013,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,B-Injury
-88.238720353556445,40.112356582780187,40,1,0,2013,Clear,Daylight,Dry,Other,Champaign,B-Injury
-88.257695766945503,40.103417508708041,41,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.298107481668779,40.097057520328484,42,1,0,2013,Clear,Daylight,Other,Stop Sign/Flasher,Unincorporated,C-Injury
-88.190455650541651,40.083815642580298,43,2,0,2013,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
-88.078945739904611,40.38551756928392,44,1,0,2013,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.24353580122937,40.119936864106371,45,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.227908773389032,40.110415565338705,46,1,0,2013,Cloudy/Overcast,Dusk,Dry,No Controls,Urbana,B-Injury
-88.183414950189544,40.130194179254531,47,1,0,2013,Clear,Darkness,Dry,No Controls,Unincorporated,C-Injury
-88.194564019436157,40.105687513365574,48,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.262695761279943,40.125426820513468,49,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.257915846069238,40.122178936144316,50,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.23871574844074,40.110240965976949,51,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.275975798472231,40.13211842803976,52,1,0,2013,Clear,Darkness,Dry,No Controls,Champaign,B-Injury
-88.276715772502953,40.110337509354153,53,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.268915823603578,40.098228425686749,54,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.24353577708375,40.119937279147727,55,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.265449568514754,40.098200091119551,56,1,0,2013,Rain,"Darkness, lighted road",Wet,No Controls,Champaign,A-Injury
-88.276993858514956,40.127250876896376,57,1,0,2014,Clear,Daylight,Wet,No Controls,Champaign,C-Injury
-88.2466756031654,40.097824456119973,58,1,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.23680541445178,40.129527514332182,59,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.276517259690152,40.098267528186277,60,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.276715160074872,40.110337504662624,61,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.276895349815703,40.119697351455692,62,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.262005770578881,40.146487516775075,63,1,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.269959323629593,40.130688121203981,64,2,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.257985782484269,40.127178338088505,65,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.277235775221712,40.139237514995102,66,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.257985768375505,40.127177513175816,67,1,0,2014,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,C-Injury
-88.268905660881714,40.127335620667189,68,1,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.230455869406228,40.110327412273776,69,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.298115775957086,40.098527506100453,70,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,A-Injury
-88.309907231751524,40.113218196087814,71,1,0,2014,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,B-Injury
-88.245235764126519,40.119112475878254,72,1,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.223915892176549,40.110578151091062,73,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.232056216370495,40.110307495903463,74,0,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,Property Damage
-88.221465036869773,40.109088285854845,75,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.233576158070647,40.110286063484999,76,1,0,2014,Rain,Darkness,Wet,Traffic Signal,Champaign,B-Injury
-88.24117494701774,40.116349308429392,77,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.222845711237852,40.099245934302395,78,1,0,2014,Clear,Unknown,Dry,No Controls,Urbana,C-Injury
-88.23333575741637,40.098097508474922,79,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.223995757205714,40.112817512215194,80,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.257845820219686,40.116328822397556,81,2,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.241504296312385,40.102707637562744,82,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.195554577394276,40.098387557611332,83,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.17680587262555,40.105747471313862,84,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
